linename,first,last,company
101路(百万庄西口-红庙路口东),5:30,23:00,北京公交集团电车客运分公司
101路(红庙路口东-百万庄西口),5:30,23:00,北京公交集团电车客运分公司
102路(北京南站-动物园枢纽站),4:50,23:00,北京公交集团电车客运分公司
102路(动物园枢纽站-北京南站),4:50,23:00,北京公交集团电车客运分公司
103路(北京站西-动物园枢纽站),4:50,23:00,北京公通集团电车客运分公司
103路(动物园枢纽站-北京站西),4:50,23:00,北京公交集团电车客运分公司
104路(北京站西-地铁柳芳站),5:00,0:00,北京公交集团电车客运分公司
104路(地铁柳芳站-北京站西),5:00,0:00,北京公交集团电车客运分公司
105路(白石桥东-天桥),4:45,23:00,北京公交集团电车客运分公司
105路(天桥-白石桥东),4:45,23:00,北京公交集团电车客运分公司
106路(北京南站-东直门枢纽站),4:50,23:00,北京公交集团电车客运分公司
106路(东直门枢纽站-北京南站),4:50,23:00,北京公交集团电车客运分公司
107路(白石桥东-东直门枢纽站),5:00,23:00,北京公交集团电车客运分公司
107路(东直门枢纽站-白石桥东),5:00,23:00,北京公交集团电车客运分公司
108路(崇文门外-大屯南),5:00,23:00,北京公交集团电车客运分公司
108路(大屯东-崇文门外),5:00,23:00,北京公交集团电车客运分公司
109路(北京西站南广场-东大桥公交场站),5:00,23:00,北京公交集团电车客运分公司
109路(东大桥公交场站-北京西站南广场),5:00,23:00,北京公交集团电车客运分公司
10路(航天桥东-南菜园),5:00,0:00,北京公交集团电车客运分公司
10路(南菜园-航天桥东),5:00,0:00,北京公交集团电车客运分公司
110路(地铁柳芳站-天桥),5:00,23:00,北京公共集团电车客运分公司
110路(天桥-地铁柳芳站),5:00,23:00,北京公交集团电车客运分公司
111路(白石桥东-崇文门外),4:50,23:00,北京公交集团电车客运分公司
111路(崇文门外-白石桥东),5:00,23:00,北京公交集团电车客运分公司
112路(康家沟-亮果厂),5:30,10:00,北京公交集团电车客运分公司
112路(亮果厂-康家沟),5:30,10:00,北京公交集团电车客运分公司
113路(大北窑南-祁家豁子),5:00,23:00,北京公交集团电车客运分公司
113路(祁家豁子-大北窑南),5:00,23:00,北京公交集团电车客运分公司
114路(白云路-南坞),5:00,23:00,北京公交集团电车客运分公司
