line,stationno,stationname,x,y
101路(百万庄西口-红庙路口东),1,百万庄西口,116.341741,39.933817
101路(百万庄西口-红庙路口东),2,百万庄中街,116.344621,39.933789
101路(百万庄西口-红庙路口东),3,百万庄东口,116.348354,39.933802
101路(百万庄西口-红庙路口东),4,展览路,116.352329,39.928898
101路(百万庄西口-红庙路口东),5,阜成门外,116.357149,39.929088
101路(百万庄西口-红庙路口东),6,阜成门,116.36106,39.929232
101路(百万庄西口-红庙路口东),7,阜成门内,116.365736,39.929504
101路(百万庄西口-红庙路口东),8,白塔寺,116.373456,39.929778
101路(百万庄西口-红庙路口东),9,西四路口东,116.382242,39.930159
101路(百万庄西口-红庙路口东),10,西安门,116.385,39.928694
101路(百万庄西口-红庙路口东),11,北海,116.396062,39.928474
101路(百万庄西口-红庙路口东),12,故宫,116.401982,39.929583
101路(百万庄西口-红庙路口东),13,沙滩路口西,116.41185,39.930634
101路(百万庄西口-红庙路口东),14,美术馆东,116.418782,39.930565
101路(百万庄西口-红庙路口东),15,东四路口东,116.425244,39.930517
101路(百万庄西口-红庙路口东),16,朝内小街,116.430707,39.930447
101路(百万庄西口-红庙路口东),17,朝阳门内,116.438791,39.930316
101路(百万庄西口-红庙路口东),18,朝阳门外,116.446498,39.929981
101路(百万庄西口-红庙路口东),19,神路街,116.450972,39.929189
101路(百万庄西口-红庙路口东),20,东大桥路口东,116.458203,39.927948
101路(百万庄西口-红庙路口东),21,关东店,116.461679,39.926451
101路(百万庄西口-红庙路口东),22,呼家楼西,116.46595,39.925362
101路(百万庄西口-红庙路口东),23,小庄路口东,116.478311,39.921675
101路(百万庄西口-红庙路口东),24,红庙路口西,116.483198,39.921335
101路(百万庄西口-红庙路口东),25,红庙路口东,116.487478,39.921219
101路(红庙路口东-百万庄西口),1,红庙路口东,116.486936,39.921492
101路(红庙路口东-百万庄西口),2,红庙路口西,116.48236,39.921635
101路(红庙路口东-百万庄西口),3,小庄路口东,116.477958,39.922019
101路(红庙路口东-百万庄西口),4,呼家楼西,116.46702,39.925358
101路(红庙路口东-百万庄西口),5,关东店,116.461721,39.926724
101路(红庙路口东-百万庄西口),6,东大桥路口西,116.455855,39.928758
101路(红庙路口东-百万庄西口),7,神路街,116.451521,39.929185
101路(红庙路口东-百万庄西口),8,朝阳门外,116.445871,39.930163
101路(红庙路口东-百万庄西口),9,朝阳门内,116.439138,39.930468
101路(红庙路口东-百万庄西口),10,朝内小街,116.43082,39.930571
101路(红庙路口东-百万庄西口),11,东四路口东,116.425461,39.930634
101路(红庙路口东-百万庄西口),12,美术馆东,116.419321,39.930696
101路(红庙路口东-百万庄西口),13,沙滩路口西,116.411124,39.930689
101路(红庙路口东-百万庄西口),14,故宫,116.401498,39.929643
101路(红庙路口东-百万庄西口),15,北海,116.395561,39.928633
101路(红庙路口东-百万庄西口),16,西安门,116.38602,39.928809
101路(红庙路口东-百万庄西口),17,西四路口东,116.381421,39.930172
101路(红庙路口东-百万庄西口),18,白塔寺,116.373579,39.929857
101路(红庙路口东-百万庄西口),19,阜成门内,116.365813,39.929618
101路(红庙路口东-百万庄西口),20,阜成门,116.361084,39.929408
101路(红庙路口东-百万庄西口),21,阜成门外,116.356853,39.929207
101路(红庙路口东-百万庄西口),22,展览路,116.353947,39.929107
101路(红庙路口东-百万庄西口),23,阜外西口,116.34738,39.928892
101路(红庙路口东-百万庄西口),24,甘家口北,116.341168,39.930047
101路(红庙路口东-百万庄西口),25,百万庄西口,116.341586,39.93382
102路(北京南站-动物园枢纽站),1,北京南站,116.383202,39.872574
102路(北京南站-动物园枢纽站),2,永定门长途汽车站,116.38937,39.875403
102路(北京南站-动物园枢纽站),3,陶然桥北,116.394268,39.879959
102路(北京南站-动物园枢纽站),4,太平街,116.393994,39.886088
102路(北京南站-动物园枢纽站),5,虎坊路,116.391449,39.890707
102路(北京南站-动物园枢纽站),6,虎坊桥路口西,116.388609,39.895669
102路(北京南站-动物园枢纽站),7,果子巷,116.385514,39.895548
102路(北京南站-动物园枢纽站),8,菜市口北,116.381064,39.897046
102路(北京南站-动物园枢纽站),9,校场口,116.381072,39.900958
102路(北京南站-动物园枢纽站),10,宣武门外,116.381005,39.903619
102路(北京南站-动物园枢纽站),11,西单路口南,116.380726,39.911727
102路(北京南站-动物园枢纽站),12,西单商场,116.380443,39.917981
102路(北京南站-动物园枢纽站),13,缸瓦市,116.380187,39.925167
