linename,first,last,company
地铁1号线(苹果园-四惠东),5:10,23:30,北京市地铁运营有限公司
地铁1号线(四惠东-苹果园),5:05,23:30,北京市地铁运营有限公司
地铁2号线(外环(西直门-西直门)),5:10,22:15,北京市地铁运营有限公司
地铁2号线(内环(积水潭-积水潭)),5:04,22:14,北京市地铁运营有限公司
地铁4号线大兴线(天宫院-安河桥北),5:30,22:38,北京京港地铁有限公司
地铁4号线大兴线(安河桥北-天宫院),5:00,22:20,北京京港地铁有限公司
地铁5号线(宋家庄-天通苑北),5:20,23:11,北京市地铁运营有限公司
地铁5号线(天通苑北-宋家庄),5:00,22:48,北京市地铁运营有限公司
地铁6号线(海淀五路居-潞城),5:23,22:40,北京市地铁运营有限公司
地铁6号线(潞城-海淀五路居),5:50,22:49,北京市地铁运营有限公司
地铁7号线(焦化厂-北京西站),5:10,22:25,北京市地铁运营有限公司
地铁7号线(北京西站-焦化厂),5:30,23:15,北京市地铁运营有限公司
地铁8号线(朱辛庄-南锣鼓巷),5:10,22:05,北京市地铁运营有限公司
地铁8号线(南锣鼓巷-朱辛庄),5:30,23:00,北京市地铁运营有限公司
地铁9号线(郭公庄-国家图书馆),5:20,22:40,北京市地铁运营有限公司
地铁9号线(国家图书馆-郭公庄),5:59,23:19,北京市地铁运营有限公司
地铁10号线(内环(车道沟-车道沟)),4:47,22:25,北京市地铁运营有限公司
地铁10号线(外环(巴沟-巴沟)),4:49,22:35,北京市地铁运营有限公司
地铁13号线(东直门-西直门),5:35,22:42,北京市地铁运营有限公司
地铁13号线(西直门-东直门),5:35,22:42,北京市地铁运营有限公司
地铁14号线西段(西局-张郭庄),5:45,22:10,北京京港地铁有限公司
地铁14号线东段(善各庄-北京南站),5:00,22:30,北京京港地铁有限公司
地铁14号线西段(张郭庄-西局),5:30,22:10,北京京港地铁有限公司
地铁14号线东段(北京南站-善各庄),5:30,22:40,北京京港地铁有限公司
地铁15号线(清华东路西口-俸伯),5:42,23:15,北京市地铁运营有限公司
地铁15号线(俸伯-清华东路西口),5:30,22:11,北京市地铁运营有限公司
地铁16号线(西苑-北安河),6:00,22:55,北京京港地铁有限公司
地铁16号线(北安河-西苑),5:25,22:30,北京京港地铁有限公司
八通线(四惠-土桥),6:00,23:40,北京市地铁运营有限公司
八通线(土桥-四惠),5:20,23:00,北京市地铁运营有限公司
地铁昌平线(昌平西山口-西二旗),5:45,22:50,北京市地铁运营有限公司
地铁昌平线(西二旗-昌平西山口),5:50,23:35,北京市地铁运营有限公司
亦庄线(宋家庄-次渠),6:00,23:20,北京市地铁运营有限公司
亦庄线(次渠-宋家庄),5:23,22:43,北京市地铁运营有限公司
房山线(郭公庄-阎村东),5:58,23:25,北京市地铁运营有限公司
房山线(阎村东-郭公庄),5:15,22:23,北京市地铁运营有限公司
地铁s1线(石厂-金安桥),6:00,20:35,北京市地铁运营有限公司
地铁s1线(金安桥-石厂),6:25,21:00,北京市地铁运营有限公司
机场线(东直门-东直门),6:00,22:30,北京市地铁运营有限公司
地铁燕房线(阎村东-燕山),5:05,22:30,北京市地铁运营有限公司
地铁燕房线(燕山-阎村东),5:30,22:55,北京市地铁运营有限公司
西郊线(香山-巴沟),6:00,23:00,北京公交集团
西郊线(巴沟-香山),5:30,22:30,北京公交集团
