line,stationno,stationname,x,y
地铁1号线(四惠东-苹果园),1,四惠东,116.522397,39.914969
地铁1号线(四惠东-苹果园),2,四惠,116.501919,39.914894
地铁1号线(四惠东-苹果园),3,大望路,116.482387,39.914135
地铁1号线(四惠东-苹果园),4,国贸,116.466679,39.914132
地铁1号线(四惠东-苹果园),5,永安里,116.457089,39.914223
地铁1号线(四惠东-苹果园),6,建国门,116.440846,39.914504
地铁1号线(四惠东-苹果园),7,东单,116.426002,39.914504
地铁1号线(四惠东-苹果园),8,王府井,116.417796,39.914398
地铁1号线(四惠东-苹果园),9,天安门东,116.407851,39.91408
地铁1号线(四惠东-苹果园),10,天安门西,116.39805,39.913776
地铁1号线(四惠东-苹果园),11,西单,116.383427,39.913349
地铁1号线(四惠东-苹果园),12,复兴门,116.36438,39.91303
地铁1号线(四惠东-苹果园),13,南礼士路,116.359221,39.912979
地铁1号线(四惠东-苹果园),14,木樨地,116.344097,39.913125
地铁1号线(四惠东-苹果园),15,军事博物馆,116.330351,39.913241
地铁1号线(四惠东-苹果园),16,公主坟,116.316573,39.913503
地铁1号线(四惠东-苹果园),17,万寿路,116.30155,39.91371
地铁1号线(四惠东-苹果园),18,五棵松,116.280423,39.913833
地铁1号线(四惠东-苹果园),19,玉泉路,116.25947,39.913501
地铁1号线(四惠东-苹果园),20,八宝山,116.242277,39.913185
地铁1号线(四惠东-苹果园),21,八角游乐园,116.21939,39.913076
地铁1号线(四惠东-苹果园),22,古城,116.197072,39.913414
地铁1号线(四惠东-苹果园),23,苹果园,116.184463,39.93254
地铁1号线(苹果园-四惠东),1,苹果园,116.184463,39.93254
地铁1号线(苹果园-四惠东),2,古城,116.197072,39.913414
地铁1号线(苹果园-四惠东),3,八角游乐园,116.21939,39.913076
地铁1号线(苹果园-四惠东),4,八宝山,116.242277,39.913185
地铁1号线(苹果园-四惠东),5,玉泉路,116.25947,39.913501
地铁1号线(苹果园-四惠东),6,五棵松,116.280423,39.913833
地铁1号线(苹果园-四惠东),7,万寿路,116.30155,39.91371
